date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:44:36	1403/1403	---M-Z	200	added ('OK')	application/javascript	etag:%2257b-536f74d81fe04-gzip%22	http://hdinvesting.cn/wp-includes/js/wp-embed.min.js?ver=4.5.3	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-includes/js/wp-embed.min62d0.js	(from http://hdinvesting.cn/)
08:44:37	16294/16294	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2000:44:36%20GMT	http://hdinvesting.cn/?page_id=49	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/index6499.html	(from http://hdinvesting.cn/)
08:44:37	18625/18625	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2000:44:36%20GMT	http://hdinvesting.cn/?p=65	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/index7665.html	(from http://hdinvesting.cn/)
08:44:37	19138/19138	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2000:44:36%20GMT	http://hdinvesting.cn/?p=1	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/indexcff1.html	(from http://hdinvesting.cn/)
08:44:37	18755/18755	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2000:44:36%20GMT	http://hdinvesting.cn/?p=63	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/index2cce.html	(from http://hdinvesting.cn/)
08:44:37	19819/19819	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2000:44:36%20GMT	http://hdinvesting.cn/?author=1	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/indexcd64.html	(from http://hdinvesting.cn/)
08:44:37	66624/66624	---M--	200	added ('OK')	text/html	etag:%2210440-536f76fc1e02c%22	http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont3295.html	(from http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/css/font-awesome.min.css?ver=4.5.0)
08:44:38	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-536f76fc1e02c%22	http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont.eot?v=4.5.0	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont3295.eot	(from http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/css/font-awesome.min.css?ver=4.5.0)
08:44:39	142072/142072	---M--	200	added ('OK')	text/html	etag:%2222af8-536f76fc1e02c%22	http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont3295-2.html	(from http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/css/font-awesome.min.css?ver=4.5.0)
08:44:39	365616/365616	---M--	200	added ('OK')	image/svg+xml	etag:%2259430-536f76fc1efcc%22	http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont.svg?v=4.5.0	C:/My%20Websites/http___hdinvesting.cn_/hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/fonts/fontawesome-webfont3295.svg	(from http://hdinvesting.cn/wp-content/themes/corporate-plus/assets/library/Font-Awesome/css/font-awesome.min.css?ver=4.5.0)
